v,w,x,y,target
False,True,0.6349999404047206,0.4791004720574512,1
False,True,0.8078543019534277,0.5124562396375931,0
False,False,0.9975612088693158,0.7386877519689609,1
True,True,0.034070059334976754,0.32892934635392834,0
False,False,0.9519641171240114,0.3684466408433329,1
True,True,0.5807657091976638,0.7297573765436323,0
False,False,0.8270180850327713,0.20107942328774275,1
True,True,0.40960169056048457,0.3652205463834728,0
False,False,0.9948427266214226,0.386593276751821,1
False,True,0.30661395375255796,0.10327322906771608,0
True,False,0.06933515101100007,0.805281776245414,1
True,False,0.8369988075493334,0.052173628310167586,0
False,False,0.4195513371273467,0.17062967564556952,1
True,True,0.028299428171136398,0.21209149732767718,0
False,False,0.025317003143854322,0.44685546149421573,1
False,True,0.6553232690791773,0.12652804183979316,0
True,False,0.4938667631742074,0.21960792408288288,1
True,True,0.00782284429407143,0.46387971091615343,0
False,False,0.9007543622738405,0.2950270162344143,1
True,True,0.9482170386089732,0.09856340695484134,0
False,True,0.5257866588071927,0.5606768219884671,1
False,True,0.9768477022746382,0.35522585410859364,0
True,False,0.6446467467073375,0.44263673924565394,1
True,False,0.4015138527032299,0.22548592854252913,0
False,False,0.2470569184093352,0.7041792242929901,1
True,True,0.45599214581860004,0.23643698095484955,0
False,False,0.6318235167463735,0.9631250251407515,1
True,True,0.6268076422259036,0.7585257188939939,0
False,True,0.3859525941755765,0.6147097377616874,1
True,True,0.9892086826942285,0.006385498954886715,0
False,False,0.39122298893643304,0.14542152800186026,1
True,False,0.951238490854135,0.32211184885109767,0
True,False,0.4368809942954668,0.6170923684966161,1
True,True,0.018987857363210625,0.5012020362915018,0
False,False,0.5518985930407286,0.22511988561517504,1
True,True,0.9251615737955151,0.8835561110950751,0
False,True,0.08044135150154952,0.8996767240220049,1
True,True,0.1882934879668441,0.0596454627614903,0
False,False,0.03714769024610254,0.4950585460308846,1
True,True,0.15818712139457103,0.10410896862057861,0
False,False,0.35227293973175733,0.5325502949431836,1
True,False,0.7096301568187359,0.4938124304897341,0
False,True,0.8067392633767855,0.9063674157825844,1
True,True,0.9701764532210744,0.3901458845298694,0
False,True,0.6071883143857628,0.7556762574326491,1
True,False,0.9307985303885637,0.5362266786434124,0
True,False,0.9980604016383124,0.5548593721237705,1
