x,y,target
0.48124663407330837,0.6660875572249376,1
0.9022625939618647,0.7518134911623262,0
0.16257679732510133,0.22092305515921762,1
0.45479362478218877,0.39012761112600725,0
0.22737254003902674,0.6027930131077106,1
0.9238678491683142,0.16733418216227636,0
0.06526883742555811,0.6764978485031419,1
0.9073266766012213,0.5818696541054059,0
0.06324154092453105,0.24536167275287735,1
0.6623064470469424,0.47831515184193685,0
0.004719889854730597,0.8215036038915641,1
0.6498910769832944,0.4346622737742225,0
0.6640014247913388,0.9418131120471213,1
0.6052183560954221,0.16453134077530485,0
0.0690916725605788,0.7478222301667475,1
0.6222563467333062,0.5802210278394465,0
0.06809280071160351,0.5159850843032207,1
0.6958307921979063,0.6675127322417856,0
0.505071604288274,0.6694411062486666,1
0.8640059089926321,0.09254661794181518,0
0.5754319364900881,0.7670552202527319,1
0.7495896325429424,0.43084890964263656,0
0.07140994174542781,0.32252040806926907,1
0.3673728641174888,0.052146318797309466,0
0.4412831369117174,0.9692866767950842,1
0.7818314789452186,0.27472490302270847,0
0.6919468515548367,0.8959040261664166,1
0.7477899004325879,0.4396092659423817,0
0.12938086239649915,0.8284120576745225,1
0.5366508929479404,0.45582782590073667,0
0.2452014625354605,0.6288688791179973,1
0.48859342367970937,0.3135024037783669,0
0.08236602372410229,0.44259745784787485,1
0.6458803020376493,0.27463439852393057,0
0.5504103693856599,0.9360885906105852,1
0.7148163968729637,0.40848198998347374,0
0.4206752455189853,0.8325825886265482,1
0.6561111072424494,0.560120556908273,0
0.23007580939862804,0.6600635655318189,1
0.9461039945058303,0.06304881865751377,0
0.10501287643925727,0.9887503934107044,1
0.5040789912250682,0.32220558892761175,0
0.8020427640579747,0.9992961143729868,1
0.3772828870309809,0.22321005197163857,0
0.07283276097551272,0.18319794262854772,1
0.9834807976642795,0.9514121409171094,0
0.07535825074879454,0.9933568953048566,1
0.8954883924403657,0.8713860897930809,0
0.01206203926105398,0.8713201702845816,1
0.36607521318535186,0.062073919966165514,0
0.0696569928455344,0.07163826869229173,1
0.7853627221727889,0.1984182133324911,0
0.17717490088293475,0.3645761036944315,1
0.3416535516867317,0.13225034328144059,0
0.42058988818252074,0.5718886187590662,1
0.6005349357543595,0.565496284504606,0
0.0827695229369616,0.13623208048185587,1
0.6018794346436562,0.48438223176735473,0
0.013430187883041955,0.6174847572769643,1
0.7551993882386618,0.6235334896893603,0
0.7587936518238843,0.8813237161963715,1
0.673937376599139,0.548928338737135,0
0.08414218934097617,0.9731977529626801,1
0.3093164047792961,0.0695214462388154,0
0.7667373690303922,0.9561834978565806,1
0.8058162234083713,0.6636559687697606,0
