x_num_0,x_num_1,x_num_2,x_num_3,x_cat_0,target
0.6229016948897019,0.7417869892607294,0.7951935655656966,0.9424502837770503,2,1
0.6520316967541351,0.5300398545638115,0.8403481205226678,0.7759585674357169,0,0
0.6489745531369242,0.9009004917506227,0.11320596465314436,0.46906904778216374,0,0
0.38075791704476514,0.1019744021739154,0.24933071444268662,0.7311837167794242,1,0
0.2794823660111103,0.9163453718085519,0.7657254516291417,0.15960421235803823,0,0
0.13876741839890316,0.6174525204661166,0.1266992325502697,0.0017748622025346439,0,0
0.2094563824951179,0.21548116922473226,0.9824211088259253,0.8724077654368019,1,0
0.3136513677349536,0.19888932659643488,0.8761189332442766,0.6257301956771277,0,0
0.9409760010879991,0.6906419411069082,0.9665643123171954,0.8937416775764785,1,0
0.02157020837955126,0.4149067116227452,0.9357926558382951,0.26381193894997024,1,0
0.3013591007694625,0.6031099974076544,0.003383119374356758,0.6779342495476912,1,0
0.06602245055107714,0.35535135729996914,0.3060642591174333,0.6964198076411567,0,1
0.48121838623686386,0.7046691341409093,0.057000929535789946,0.9750995631442353,0,0
0.9492204766705261,0.35764406505883395,0.4042940811668897,0.5490659459511809,1,0
0.36618447584186054,0.5785188290568746,0.009078386819528439,0.04672711869894153,0,0
0.6237130310772351,0.954394476089788,0.11902055707377501,0.24608679063361372,1,0
0.34438181305301196,0.35479320505791223,0.52470182069312,0.7756030146989953,0,0
0.5897633712619398,0.7809871494563421,0.3672972162045115,0.29586380747431196,1,0
0.9458001850421838,0.0911798641717686,0.34074053550422223,0.6108275380926242,0,1
0.3399595266258446,0.9241976194277907,0.5451440370982389,0.31245036934290693,1,0
0.30617106838135244,0.7987736171349602,0.6268057685261074,0.7211350402919544,1,0
0.9967268145367039,0.16152946442461624,0.04855216354845626,0.9866991087842674,2,1
0.9236068159780504,0.03182648299140178,0.7405584945824758,0.34383290131610267,1,0
0.45566510149066475,0.42175728191158934,0.05570723100789343,0.916069348441991,0,0
0.8016644306001379,0.3341852936031615,0.2070598910046504,0.9813004861151011,2,1
0.9497985626218988,0.6303992934263946,0.788009549780357,0.1066306096972589,1,1
0.37299762777421874,0.05877061817596774,0.4206458203108081,0.14120240847136756,2,1
0.8522526708937429,0.9760075697466309,0.45353998959162334,0.4881589985552358,2,1
0.3177022522616568,0.2740355304704801,0.470080825714688,0.9018604691811379,0,0
0.37700074778538195,0.9883877004068482,0.9598158834829645,0.626964970954839,1,0
0.8677989344185498,0.18012029744042013,0.4918620234154919,0.5151788725109321,2,0
0.8673868067773021,0.3613262330227255,0.7860225796338303,0.7748980921186417,2,1
0.5874843125344696,0.03431853472917323,0.3056990829365831,0.5593143307005581,2,0
0.280852055812124,0.4856852238242212,0.769747473157619,0.6908829563557005,1,0
0.9568854268308546,0.3400733891851615,0.17864939257994905,0.8518219963578928,1,1
0.5469908920952455,0.25069228802550525,0.6716429239040993,0.4629389888705798,2,0
0.6474369441988925,0.7976259466750222,0.3478845080276999,0.6440630729912358,2,1
0.9375151830031623,0.4084690239283826,0.9223332318878142,0.1724730198823753,2,0
